iter	MAPE	RMSE	R2	MAE
260	0.2131583759	263011.9863	0.9666364587	162273.1191
261	0.2130434177	262871.0438	0.9666722067	162239.1846
262	0.2129896845	262396.9278	0.9667923188	162042.3891
263	0.2129730821	262031.6036	0.9668847217	161870.3651
264	0.2125697882	261781.3942	0.9669479339	161703.8086
265	0.2118231879	261455.45	0.967030189	161329.2864
266	0.2116600202	261083.3993	0.9671239542	161108.4155
267	0.2111382759	260624.4535	0.967239435	160633.6919
268	0.2110933621	260515.9893	0.9672666973	160615.5441
269	0.2109504504	260332.2662	0.9673128499	160552.9188
270	0.2109161516	260236.0722	0.9673370015	160538.921
271	0.2108322883	259817.5679	0.9674419725	160214.68
272	0.2105866072	259502.9099	0.967520785	160098.31
273	0.2103615252	259286.3736	0.9675749655	160015.0233
274	0.2101298796	258939.7511	0.9676616012	159862.869
275	0.2092916732	258569.9865	0.9677538934	159638.2863
276	0.2092138775	258452.8651	0.9677830991	159620.6572
277	0.2091991738	258368.5487	0.9678041162	159604.7941
278	0.2090609256	257959.1009	0.9679060798	159381.5138
279	0.2090766001	257580.5728	0.9680001996	159285.9364
280	0.208951697	257385.0354	0.9680487653	159140.4855
281	0.2082317763	257115.7323	0.9681155917	158897.4279
282	0.2079520904	256795.1896	0.9681950419	158647.8006
283	0.2078595264	256475.5583	0.9682741675	158443.0626
284	0.2077975141	256220.8811	0.9683371429	158367.145
285	0.2076813859	255880.9926	0.9684210916	158230.3337
286	0.2075767533	255309.126	0.9685620848	157882.3608
287	0.2076086325	255107.2692	0.9686117771	157786.4285
288	0.2075982817	255051.9314	0.9686253931	157777.9323
289	0.2076119222	254704.6322	0.9687107793	157635.9968
290	0.2076316435	254269.8901	0.9688175	157405.4699
291	0.2066265712	254020.54	0.9688786284	157207.6476
292	0.206373263	253601.5702	0.968981204	156864.6919
293	0.2059027798	253204.9332	0.9690781559	156525.4849
294	0.204970391	252854.6748	0.9691636452	156254.2616
295	0.204845464	252667.2265	0.9692093479	156138.0283
296	0.2048341486	252614.6379	0.9692221637	156129.6193
297	0.2047177381	252104.0758	0.9693464488	155905.3763
298	0.2046761257	251819.2182	0.9694156819	155791.2984
299	0.2046625158	251731.8476	0.9694369011	155781.4127
300	0.2045956499	251473.7403	0.9694995433	155614.491
301	0.2044010384	251199.4936	0.969566032	155498.799
302	0.2043293718	250784.5013	0.9696665054	155325.099
303	0.2043141363	250702.9497	0.9696862303	155312.0398
304	0.2041382861	250402.9852	0.9697587273	155105.307
