iter	Passed	Remaining
590	6004	44797
591	6015	44793
592	6026	44786
593	6036	44774
594	6046	44760
595	6056	44753
596	6066	44743
597	6076	44733
598	6087	44726
599	6097	44714
600	6107	44704
601	6117	44690
602	6128	44686
603	6138	44679
604	6152	44691
605	6162	44684
606	6174	44688
607	6185	44682
608	6196	44677
609	6206	44668
610	6216	44654
611	6226	44643
612	6236	44631
613	6245	44615
614	6256	44609
615	6265	44593
616	6276	44586
617	6287	44584
618	6299	44581
619	6311	44585
620	6321	44576
621	6331	44567
622	6342	44557
623	6352	44551
624	6363	44546
625	6374	44540
626	6384	44529
627	6395	44520
628	6406	44517
629	6417	44512
630	6426	44499
631	6438	44495
632	6448	44486
633	6458	44475
634	6469	44468
635	6479	44456
636	6490	44453
637	6501	44450
638	6512	44445
639	6523	44439
640	6534	44436
641	6544	44423
642	6554	44416
643	6564	44404
644	6575	44396
645	6585	44382
646	6595	44376
647	6605	44363
648	6616	44357
649	6627	44350
650	6637	44341
651	6647	44329
652	6657	44320
653	6668	44312
654	6678	44299
655	6688	44292
656	6698	44278
657	6709	44277
658	6719	44264
659	6730	44256
660	6740	44246
661	6750	44236
662	6760	44226
663	6771	44217
664	6781	44209
665	6792	44200
666	6802	44188
667	6811	44174
668	6821	44163
669	6831	44152
670	6842	44144
671	6854	44148
672	6866	44144
673	6878	44149
674	6888	44139
675	6900	44138
676	6910	44126
677	6920	44117
678	6930	44105
679	6941	44099
680	6951	44085
681	6961	44075
682	6972	44070
683	6982	44060
684	6992	44050
685	7003	44040
686	7014	44038
687	7025	44029
688	7036	44024
689	7047	44020
690	7057	44011
691	7067	43998
692	7077	43989
693	7088	43978
694	7097	43966
695	7110	43968
696	7121	43964
697	7131	43955
698	7143	43955
699	7154	43947
700	7163	43934
701	7175	43929
702	7184	43917
703	7196	43913
704	7209	43922
705	7220	43915
706	7231	43908
707	7243	43911
708	7255	43912
709	7267	43912
710	7279	43911
711	7289	43900
712	7301	43899
713	7311	43891
714	7322	43884
715	7334	43882
716	7344	43869
717	7354	43863
718	7365	43855
719	7375	43845
720	7387	43840
721	7397	43831
722	7407	43822
723	7419	43819
724	7429	43810
725	7439	43798
726	7450	43788
727	7460	43778
728	7469	43764
729	7480	43756
730	7491	43750
731	7502	43741
732	7513	43737
733	7522	43720
734	7532	43707
735	7541	43694
736	7551	43682
737	7562	43671
738	7571	43659
739	7581	43644
740	7592	43639
741	7602	43626
742	7612	43617
743	7623	43610
744	7634	43605
745	7645	43595
746	7655	43586
747	7666	43580
748	7676	43569
749	7689	43573
750	7701	43572
751	7711	43563
752	7722	43553
753	7733	43547
754	7743	43539
755	7753	43528
756	7764	43521
757	7775	43515
758	7786	43507
759	7797	43499
760	7807	43488
761	7817	43477
762	7827	43469
763	7839	43464
764	7849	43451
765	7859	43442
766	7870	43433
767	7880	43424
768	7891	43415
769	7901	43405
770	7911	43396
771	7922	43389
772	7933	43384
773	7943	43371
774	7953	43359
775	7963	43348
776	7973	43336
777	7985	43334
778	7996	43329
779	8006	43317
780	8016	43306
781	8027	43299
782	8037	43289
783	8047	43278
784	8059	43273
785	8070	43266
786	8079	43253
787	8089	43239
788	8098	43225
789	8108	43211
790	8118	43199
791	8128	43187
792	8138	43175
793	8147	43159
794	8157	43148
795	8167	43136
796	8178	43127
797	8188	43118
798	8199	43111
